Data;Último;Abertura;Máxima;Mínima;Vol.;Var%;Covid
04/01/2016;4.22;4.35;4.37;4.22;27970000.00;-0.04;0
05/01/2016;4.29;4.28;4.31;4.23;15310000.00;0.02;0
06/01/2016;4.33;4.23;4.41;4.21;33250000.00;0.01;0
07/01/2016;4.27;4.25;4.31;4.21;22800000.00;-0.01;0
08/01/2016;4.27;4.31;4.34;4.24;14370000.00;0.00;0
11/01/2016;4.21;4.28;4.3;4.18;23000000.00;-0.01;0
12/01/2016;4.16;4.27;4.32;4.16;23800000.00;-0.01;0
13/01/2016;4.18;4.23;4.25;4.14;17790000.00;0.00;0
14/01/2016;4.19;4.19;4.23;4.09;30920000.00;0.00;0
15/01/2016;4.12;4.14;4.16;4.08;25520000.00;-0.02;0
18/01/2016;4.11;4.12;4.16;4.08;21530000.00;0.00;0
19/01/2016;4.06;4.18;4.19;4.06;13780000.00;-0.01;0
20/01/2016;4.02;4.02;4.06;4;25890000.00;-0.01;0
21/01/2016;4.03;4.02;4.07;4;17000000.00;0.00;0
22/01/2016;4.09;4.07;4.12;4.05;19290000.00;0.01;0
26/01/2016;4.16;4.05;4.16;4;27710000.00;0.02;0
27/01/2016;4.16;4.12;4.25;4.09;28120000.00;0.00;0
28/01/2016;4.25;4.18;4.25;4.14;31620000.00;0.02;0
29/01/2016;4.4;4.27;4.41;4.27;35090000.00;0.04;0
01/02/2016;4.43;4.39;4.43;4.32;22230000.00;0.01;0
02/02/2016;4.06;4.19;4.25;4.06;38160000.00;-0.08;0
03/02/2016;4.27;4.13;4.28;4.11;22450000.00;0.05;0
04/02/2016;4.34;4.32;4.44;4.21;41780000.00;0.02;0
05/02/2016;4.34;4.33;4.41;4.32;22410000.00;0.00;0
10/02/2016;4.34;4.27;4.36;4.26;8130000.00;0.00;0
11/02/2016;4.25;4.3;4.3;4.19;17610000.00;-0.02;0
12/02/2016;4.25;4.28;4.3;4.21;14070000.00;0.00;0
15/02/2016;4.26;4.34;4.34;4.26;8940000.00;0.00;0
16/02/2016;4.32;4.27;4.39;4.25;30920000.00;0.01;0
17/02/2016;4.34;4.34;4.47;4.31;43030000.00;0.00;0
18/02/2016;4.27;4.31;4.32;4.23;15900000.00;-0.02;0
19/02/2016;4.27;4.26;4.31;4.21;29980000.00;0.00;0
22/02/2016;4.42;4.41;4.48;4.35;32530000.00;0.04;0
23/02/2016;4.41;4.38;4.47;4.36;16430000.00;0.00;0
24/02/2016;4.38;4.35;4.38;4.29;12930000.00;-0.01;0
25/02/2016;4.41;4.36;4.43;4.33;23910000.00;0.01;0
26/02/2016;4.37;4.46;4.47;4.36;17610000.00;-0.01;0
29/02/2016;4.48;4.44;4.5;4.4;29550000.00;0.03;0
01/03/2016;4.68;4.55;4.7;4.52;30180000.00;0.04;0
02/03/2016;4.75;4.68;4.76;4.64;30930000.00;0.02;0
03/03/2016;5.14;4.78;5.15;4.76;73950000.00;0.08;0
04/03/2016;5.34;5.44;5.58;5.21;83980000.00;0.04;0
07/03/2016;5.28;5.38;5.4;5.15;28730000.00;-0.01;0
08/03/2016;5.46;5.26;5.51;5.2;43730000.00;0.03;0
09/03/2016;5.33;5.51;5.56;5.33;52850000.00;-0.02;0
10/03/2016;5.53;5.44;5.63;5.3;53090000.00;0.04;0
11/03/2016;5.63;5.55;5.67;5.49;46000000.00;0.02;0
14/03/2016;5.59;5.67;5.76;5.58;47370000.00;-0.01;0
15/03/2016;5.26;5.34;5.5;5.21;42290000.00;-0.06;0
16/03/2016;5.13;5.23;5.23;5.03;45340000.00;-0.02;0
17/03/2016;5.66;5.51;5.73;5.4;67920000.00;0.10;0
18/03/2016;5.65;5.67;5.73;5.53;33570000.00;0.00;0
21/03/2016;5.73;5.68;5.75;5.61;23950000.00;0.01;0
22/03/2016;5.52;5.73;5.73;5.52;25010000.00;-0.04;0
23/03/2016;5.36;5.46;5.49;5.32;22020000.00;-0.03;0
24/03/2016;5.36;5.26;5.36;5.24;19990000.00;0.00;0
28/03/2016;5.57;5.51;5.57;5.45;20170000.00;0.04;0
29/03/2016;5.63;5.57;5.7;5.46;34000000.00;0.01;0
30/03/2016;5.58;5.68;5.73;5.51;31140000.00;-0.01;0
31/03/2016;5.38;5.53;5.53;5.32;29970000.00;-0.04;0
